"","flow","speed"
"1",727.266048,62.9
"2",284.0883,62.9
"3",340.90596,59.9
"4",340.90596,60.6
"5",511.35894,70.1
"6",340.90596,62.9
"7",511.35894,55.8
"8",624.99426,56.4
"9",1193.170861,60.9
"10",681.81192,58.4
"11",624.99426,58.4
"12",568.1766,49.1
"13",568.1766,68.2
"14",795.44724,55.8
"15",568.1766,59.5
"16",511.35894,57.1
"17",1022.717881,63.8
"18",511.35894,59.5
"19",624.99426,56.4
"20",681.81192,60.6
"21",624.99426,57.6
"22",170.45298,62.9
"23",681.81192,58.4
"24",624.99426,57.6
"25",909.082561,63.8
"26",1079.535541,60.9
"27",284.0883,56.4
"28",909.082561,59
"29",454.54128,55.8
"30",454.54128,59.9
"31",624.99426,58.4
"32",681.81192,59.3
"33",681.81192,60.2
"34",852.264901,62.1
"35",1079.535541,59.9
"36",1249.988521,54.5
"37",965.900221,63.8
"38",681.81192,62
"39",511.35894,59.5
"40",1079.535541,58.9
"41",568.1766,58.4
"42",624.99426,59.3
"43",852.264901,62.9
"44",624.99426,57.6
"45",852.264901,59.3
"46",852.264901,62
"47",568.1766,55.5
"48",738.62958,58.4
"49",738.62958,57.4
"50",1249.988521,58.4
"51",795.44724,56.7
"52",624.99426,59.5
"53",795.44724,59.9
"54",681.81192,51.1
"55",909.082561,59
"56",795.44724,61.4
"57",965.900221,61.6
"58",909.082561,61.6
"59",965.900221,64.4
"60",965.900221,58.4
"61",1079.535541,49.6
"62",965.900221,54
"63",284.0883,54.5
"64",1193.170861,59.3
"65",1420.441501,62.4
"66",909.082561,65.1
"67",1022.717881,64.8
"68",1079.535541,59.4
"69",1306.806181,60
"70",909.082561,61.6
"71",965.900221,61.6
"72",1249.988521,61.9
"73",738.62958,57.8
"74",568.1766,61.4
"75",681.81192,60.2
"76",1022.717881,60.1
"77",1363.623841,60.8
"78",1079.535541,64
"79",1306.806181,61.2
"80",1193.170861,57.6
"81",965.900221,60.1
"82",1249.988521,57.6
"83",1022.717881,60.3
"84",738.62958,62.9
"85",1534.076821,61.5
"86",738.62958,67.2
"87",965.900221,62.3
"88",1363.623841,49.5
"89",1306.806181,59.6
"90",738.62958,62.9
"91",1193.170861,62
"92",1022.717881,60.9
"93",1136.353201,57.6
"94",1249.988521,60.6
"95",965.900221,59.7
"96",852.264901,56.8
"97",1022.717881,56.6
"98",852.264901,60.9
"99",1420.441501,55.2
"100",1477.259161,58.1
"101",1534.076821,59.9
"102",1079.535541,61.7
"103",1534.076821,63.3
"104",965.900221,62.9
"105",1193.170861,61.7
"106",1136.353201,60.9
"107",852.264901,60.6
"108",1136.353201,59.4
"109",1534.076821,60.1
"110",965.900221,62.3
"111",1704.529801,62.9
"112",1306.806181,59.4
"113",909.082561,59.7
"114",1306.806181,55.7
"115",681.81192,64.2
"116",1193.170861,59.3
"117",1022.717881,64.2
"118",1193.170861,59.7
"119",1079.535541,55.6
"120",1420.441501,40.7
"121",1590.894481,60.2
"122",624.99426,62
"123",738.62958,60.6
"124",1420.441501,56.1
"125",909.082561,59.9
"126",1704.529801,56.8
"127",1193.170861,54.9
"128",1193.170861,55
"129",1136.353201,56.8
"130",1477.259161,53.9
"131",1761.347461,59.7
"132",1590.894481,57.8
"133",852.264901,59.7
"134",1249.988521,59.5
"135",1874.982781,49
"136",965.900221,57.9
"137",1534.076821,59.9
"138",1420.441501,60.6
"139",1136.353201,61.4
"140",1818.165121,59.3
"141",1022.717881,59
"142",1136.353201,59
"143",624.99426,58.4
"144",1477.259161,58.4
"145",1590.894481,56
"146",1022.717881,66.1
"147",1647.712141,58.1
"148",1363.623841,60.8
"149",1022.717881,54.5
"150",795.44724,57.1
"151",1420.441501,58.1
"152",1590.894481,59.5
"153",1136.353201,59.3
"154",1306.806181,58.4
"155",2159.071081,54.1
"156",1306.806181,57
"157",2102.253421,56.8
"158",1534.076821,58.4
"159",1363.623841,60.4
"160",1022.717881,52.4
"161",1022.717881,59
"162",1306.806181,58
"163",1306.806181,60.4
"164",1590.894481,57.1
"165",1534.076821,58.4
"166",1420.441501,57.1
"167",1477.259161,60.9
"168",1988.618101,58.2
"169",1818.165121,55.8
"170",1647.712141,62.2
"171",1193.170861,59.3
"172",1193.170861,55
"173",1590.894481,59.7
"174",1420.441501,58.1
"175",1874.982781,56.7
"176",2215.888741,56.7
"177",1704.529801,57.9
"178",2045.435761,54.5
